Id	Tense	Sentence
1340	Past Perfect Continuous Tense	She had been praising him.
1341	Simple Future Tense	She will praise him.
1342	Future Continuous Tense	She will be praising him.
1343	Future Perfect Tense	She will have praised him.
1344	Future Perfect Continuous Tense	She will have been praising him.
1345	Simple Present Tense	She listens.
1346	Present Continuous Tense	She is listening.
1347	Present Perfect Tense	She has listened.
1348	Present Perfect Continuous Tense	She has been listening.
1349	Simple Past Tense	She listened.
1350	Past Continuous Tense	She was listening.
1351	Past Perfect Tense	She had listened.
1352	Past Perfect Continuous Tense	She had been listening.
1353	Simple Future Tense	She will listen.
1354	Future Continuous Tense	She will be listening.
1355	Future Perfect Tense	She will have listened.
1356	Future Perfect Continuous Tense	She will have been listening.
1357	Simple Present Tense	She rides.
1358	Present Continuous Tense	She is riding.
1359	Present Perfect Tense	She has ridden.
1360	Present Perfect Continuous Tense	She has been riding.
1361	Simple Past Tense	She rode.
1362	Past Continuous Tense	She was riding.
1363	Past Perfect Tense	She had ridden.
1364	Past Perfect Continuous Tense	She had been riding.
1365	Simple Future Tense	She will ride.
1366	Future Continuous Tense	She will be riding.
1367	Future Perfect Tense	She will have ridden.
1368	Future Perfect Continuous Tense	She will have been riding.
