Id	Tense	Sentence
1151	Future Perfect Tense	after this week she will have begun her day.
1152	Future Perfect Continuous Tense	by next week she will have been beginning her day.
1153	Simple Present Tense	today she designs something.
1154	Present Continuous Tense	this day she is designing something.
1155	Present Perfect Tense	this day she has designed something.
1156	Present Perfect Continuous Tense	today she has been designing something.
1157	Simple Past Tense	after last spring she designed something.
1158	Past Continuous Tense	since saturday she was designing something.
1159	Past Perfect Tense	before this year she had designed something.
1160	Past Perfect Continuous Tense	since monday she had been designing something.
1161	Simple Future Tense	after this morning she will design something.
1162	Future Continuous Tense	next she will be designing something.
1163	Future Perfect Tense	later she will have designed something.
1164	Future Perfect Continuous Tense	by next week she will have been designing something.
1165	Simple Present Tense	this day he repairs something.
1166	Present Continuous Tense	at the moment he is repairing something.
1167	Present Perfect Tense	this day he has repaired something.
1168	Present Perfect Continuous Tense	today he has been repairing something.
1169	Simple Past Tense	earlier this day he repaired something.
1170	Past Continuous Tense	before 9 am he was repairing something.
1171	Past Perfect Tense	after last morning he had repaired something.
1172	Past Perfect Continuous Tense	after last winter he had been repairing something.
1173	Simple Future Tense	next weekend he will repair something.
1174	Future Continuous Tense	next dinner he will be repairing something.
1175	Future Perfect Tense	tomorrow he will have repaired something.
1176	Future Perfect Continuous Tense	by tomorrow he will have been repairing something.
1177	Simple Present Tense	today she earns some money.
1178	Present Continuous Tense	at the moment she is earning some money.
1179	Present Perfect Tense	this day she has earned some money.
1180	Present Perfect Continuous Tense	this day she has been earning some money.
1181	Simple Past Tense	earlier she earned some money.
1182	Past Continuous Tense	since last summer she was earning some money.
1183	Past Perfect Tense	earlier this day she had earned some money.
1184	Past Perfect Continuous Tense	since tuesday she had been earning some money.
1185	Simple Future Tense	later this night she will earn some money.
1186	Future Continuous Tense	next night she will be earning some money.
1187	Future Perfect Tense	next night she will have earned some money.
1188	Future Perfect Continuous Tense	by the end of this year, she will have been earning some money.
1189	Simple Present Tense	this day he wears a shirt.
1190	Present Continuous Tense	today he is wearing a shirt.
1191	Present Perfect Tense	today he has worn a shirt.
1192	Present Perfect Continuous Tense	today he has been wearing a shirt.
1193	Simple Past Tense	after this night he wore a shirt.
1194	Past Continuous Tense	since last week he was wearing a shirt.
1195	Past Perfect Tense	earlier this night he had worn a shirt.
1196	Past Perfect Continuous Tense	since last year he had been wearing a shirt.
1197	Simple Future Tense	later this day he will wear a shirt.
1198	Future Continuous Tense	later this night he will be wearing a shirt.
1199	Future Perfect Tense	next dinner he will have worn a shirt.
1200	Future Perfect Continuous Tense	by next week he will have been wearing a shirt.
1201	Simple Present Tense	today he infects someone.
1202	Present Continuous Tense	today he is infecting someone.
1203	Present Perfect Tense	this day he has infected someone.
1204	Present Perfect Continuous Tense	today he has been infecting someone.
1205	Simple Past Tense	after last night he infected someone.
1206	Past Continuous Tense	last friday he was infecting someone.
1207	Past Perfect Tense	last tuesday he had infected someone.
1208	Past Perfect Continuous Tense	since sunday he had been infecting someone.
1209	Simple Future Tense	after this day he will infect someone.
1210	Future Continuous Tense	next summer he will be infecting someone.
1211	Future Perfect Tense	then he will have infected someone.
1212	Future Perfect Continuous Tense	by the end of this year, he will have been infecting someone.
1213	Simple Present Tense	this day she travels.
1214	Present Continuous Tense	now she is traveling.
1215	Present Perfect Tense	today she has traveled.
1216	Present Perfect Continuous Tense	today she has been traveling.
1217	Simple Past Tense	before thursday she traveled.
1218	Past Continuous Tense	since friday she was traveling.
1219	Past Perfect Tense	before last year she had traveled.
1220	Past Perfect Continuous Tense	yesterday morning she had been traveling.
1221	Simple Future Tense	next she will travel.
1222	Future Continuous Tense	next dinner she will be traveling.
1223	Future Perfect Tense	after today she will have traveled.
1224	Future Perfect Continuous Tense	by next week she will have been traveling.
1225	Simple Present Tense	this day it sets out.
1226	Present Continuous Tense	now it is setting out.
1227	Present Perfect Tense	this day it has set out.
1228	Present Perfect Continuous Tense	this day it has been setting out.
1229	Simple Past Tense	last friday it set out.
1230	Past Continuous Tense	last spring it was setting out.
1231	Past Perfect Tense	after last night it had set out.
1232	Past Perfect Continuous Tense	since last summer it had been setting out.
1233	Simple Future Tense	tomorrow it will set out.
1234	Future Continuous Tense	after this evening it will be setting out.
1235	Future Perfect Tense	later this night it will have set out.
1236	Future Perfect Continuous Tense	by the end of this year, it will have been setting out.
1237	Simple Present Tense	today he cuts it.
1238	Present Continuous Tense	this day he is cutting it.
1239	Present Perfect Tense	today he has cut it.
1240	Present Perfect Continuous Tense	this day he has been cutting it.
1241	Simple Past Tense	after 2 o'clock he cut it.
1242	Past Continuous Tense	last saturday he was cutting it.
1243	Past Perfect Tense	lately he had cut it.
1244	Past Perfect Continuous Tense	since this week he had been cutting it.
1245	Simple Future Tense	next breakfast he will cut it.
1246	Future Continuous Tense	after this weekend he will be cutting it.
1247	Future Perfect Tense	next morning he will have cut it.
1248	Future Perfect Continuous Tense	by tomorrow he will have been cutting it.
1249	Simple Present Tense	this day he corrects it.
1250	Present Continuous Tense	today he is correcting it.
1251	Present Perfect Tense	today he has corrected it.
1252	Present Perfect Continuous Tense	this day he has been correcting it.
1253	Simple Past Tense	before last day he corrected it.
1254	Past Continuous Tense	since thursday he was correcting it.
1255	Past Perfect Tense	before this day he had corrected it.
1256	Past Perfect Continuous Tense	since thursday he had been correcting it.
1257	Simple Future Tense	next morning he will correct it.
1258	Future Continuous Tense	after this week he will be correcting it.
1259	Future Perfect Tense	tomorrow he will have corrected it.
1260	Future Perfect Continuous Tense	before the end of summer, he will have been correcting it.
1261	Simple Present Tense	today he finishes.
1262	Present Continuous Tense	this day he is finishing.
1263	Present Perfect Tense	this day he has finished.
1264	Present Perfect Continuous Tense	today he has been finishing.
1265	Simple Past Tense	before last day he finished.
1266	Past Continuous Tense	since this year he was finishing.
1267	Past Perfect Tense	lately he had finished.
1268	Past Perfect Continuous Tense	last weekend he had been finishing.
1269	Simple Future Tense	next weekend he will finish.
1270	Future Continuous Tense	after this evening he will be finishing.
1271	Future Perfect Tense	next summer he will have finished.
1272	Future Perfect Continuous Tense	before the end of summer, he will have been finishing.
1273	Simple Present Tense	today he loses.
1274	Present Continuous Tense	today he is losing.
1275	Present Perfect Tense	today he has lost.
1276	Present Perfect Continuous Tense	today he has been losing.
1277	Simple Past Tense	before sunday he lost.
1278	Past Continuous Tense	since monday he was losing.
1279	Past Perfect Tense	last summer he had lost.
1280	Past Perfect Continuous Tense	since 1 pm he had been losing.
1281	Simple Future Tense	the next day he will lose.
1282	Future Continuous Tense	later this morning he will be losing.
1283	Future Perfect Tense	next week he will have lost.
1284	Future Perfect Continuous Tense	in a few weeks he will have been losing.
1285	Simple Present Tense	today she feels bad.
1286	Present Continuous Tense	at the moment she is feeling bad.
1287	Present Perfect Tense	this day she has felt bad.
1288	Present Perfect Continuous Tense	today she has been feeling bad.
1289	Simple Past Tense	lately she felt bad.
1290	Past Continuous Tense	since sunday she was feeling bad.
1291	Past Perfect Tense	last monday she had felt bad.
1292	Past Perfect Continuous Tense	last winter she had been feeling bad.
1293	Simple Future Tense	tomorrow she will feel bad.
1294	Future Continuous Tense	tomorrow at 1 pm she will be feeling bad.
1295	Future Perfect Tense	soon she will have felt bad.
1296	Future Perfect Continuous Tense	by tomorrow she will have been feeling bad.
1297	Simple Present Tense	today he cries.
1298	Present Continuous Tense	this day he is crying.
1299	Present Perfect Tense	this day he has cried.
1300	Present Perfect Continuous Tense	this day he has been crying.
1301	Simple Past Tense	last wednesday he cried.
1302	Past Continuous Tense	before monday he was crying.
1303	Past Perfect Tense	after last week he had cried.
1304	Past Perfect Continuous Tense	after today he had been crying.
1305	Simple Future Tense	next winter he will cry.
1306	Future Continuous Tense	after this weekend he will be crying.
1307	Future Perfect Tense	soon he will have cried.
1308	Future Perfect Continuous Tense	by tomorrow he will have been crying.
1309	Simple Present Tense	this day he gets it.
1310	Present Continuous Tense	at the moment he is getting it.
1311	Present Perfect Tense	this day he has got it.
1312	Present Perfect Continuous Tense	this day he has been getting it.
1313	Simple Past Tense	after 2 o'clock he got it.
1314	Past Continuous Tense	last spring he was getting it.
1315	Past Perfect Tense	previously he had got it.
1316	Past Perfect Continuous Tense	since last summer he had been getting it.
1317	Simple Future Tense	tomorrow at 12 o'clock he will get it.
1318	Future Continuous Tense	after this night he will be getting it.
1319	Future Perfect Tense	the next day he will have got it.
1320	Future Perfect Continuous Tense	by the end of this year, he will have been getting it.
1321	Simple Present Tense	today he cares.
1322	Present Continuous Tense	at the moment he is caring.
1323	Present Perfect Tense	today he has cared.
1324	Present Perfect Continuous Tense	today he has been caring.
1325	Simple Past Tense	earlier this night he cared.
1326	Past Continuous Tense	since last autumn he was caring.
1327	Past Perfect Tense	before thursday he had cared.
1328	Past Perfect Continuous Tense	before saturday he had been caring.
1329	Simple Future Tense	tomorrow at 7 am he will care.
1330	Future Continuous Tense	later today he will be caring.
1331	Future Perfect Tense	next summer he will have cared.
1332	Future Perfect Continuous Tense	before the end of summer, he will have been caring.
1333	Simple Present Tense	today she praises him.
1334	Present Continuous Tense	now she is praising him.
1335	Present Perfect Tense	today she has praised him.
1336	Present Perfect Continuous Tense	this day she has been praising him.
1337	Simple Past Tense	last week she praised him.
1338	Past Continuous Tense	after this day she was praising him.
1339	Past Perfect Tense	after this weekend she had praised him.
1340	Past Perfect Continuous Tense	before saturday she had been praising him.
1341	Simple Future Tense	later this evening she will praise him.
1342	Future Continuous Tense	after this winter she will be praising him.
1343	Future Perfect Tense	after breakfast she will have praised him.
1344	Future Perfect Continuous Tense	by next week she will have been praising him.
1345	Simple Present Tense	this day she listens.
1346	Present Continuous Tense	at the moment she is listening.
1347	Present Perfect Tense	today she has listened.
1348	Present Perfect Continuous Tense	today she has been listening.
1349	Simple Past Tense	last sunday she listened.
1350	Past Continuous Tense	before friday she was listening.
1351	Past Perfect Tense	before 9 am she had listened.
1352	Past Perfect Continuous Tense	since tuesday she had been listening.
1353	Simple Future Tense	after this weekend she will listen.
1354	Future Continuous Tense	after this day she will be listening.
1355	Future Perfect Tense	later this night she will have listened.
1356	Future Perfect Continuous Tense	by next week she will have been listening.
1357	Simple Present Tense	today she rides.
1358	Present Continuous Tense	now she is riding.
1359	Present Perfect Tense	this day she has ridden.
1360	Present Perfect Continuous Tense	today she has been riding.
1361	Simple Past Tense	after this winter she rode.
1362	Past Continuous Tense	yesterday at lunch she was riding.
1363	Past Perfect Tense	before this day she had ridden.
1364	Past Perfect Continuous Tense	before this day she had been riding.
1365	Simple Future Tense	later she will ride.
1366	Future Continuous Tense	soon she will be riding.
1367	Future Perfect Tense	next morning she will have ridden.
1368	Future Perfect Continuous Tense	in a few weeks she will have been riding.
